"Design Number","Vendor Name","Barcodes List","Purchase Invoices List","Sales Invoices List","Exists in Master","Purchase Quantity","Purchase Invoices Count","Purchase Return Quantity","Sales Quantity","Sales Invoices Count","Sales Return Quantity","Available Stock","Total Printed Stock","Total Barcodes Count","Safety Category","Action Recommended"
"NB10580","SREE NAVKAR BOUTIQUE PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"NB10581","SREE NAVKAR BOUTIQUE PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"NB10607","SREE NAVKAR BOUTIQUE PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"OR-006-4FLOOR","SWEET LADY","00008161","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"OR-024-B","SRISHTI FASHION","00009457","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"OR-026","SWEET LADY","00009609","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"OR-23-4TH FLOOR","SHAH STUDIO","00009058","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"OR-301","TANKHI DESIGNS 1 PVT LTD","00008158","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"OR-311-1ST-FLOOR-B","RAJNIGANDDHA ","00009148","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"OR-35-4TH-FLOOR","VSB VASTTRAM PVT LTD","00009539","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"OR-810-1ST FLOOR","ONAYA FASHION PVT LTD","00009677","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"P-2930-B","FABRICMART LLP ","00005446, 00005460","","",TRUE,0,0,0,0,0,0,2,2,2,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"S - 3841 XL","RUDRAKSH","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"S 2543","KORA BANARAS","00003331","","",TRUE,0,0,0,0,0,0,2,2,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"SB-4HRG","VADHU VATIKA","00009465","","",TRUE,0,0,0,0,0,0,10,10,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"SC-103 BR","ESSENCE COLLECTION PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"SC-112 BR","ESSENCE COLLECTION PVT LTD","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"SF-30-BLUE","VARIMA FASHIONS PVT LTD","00009316","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"SF-30-GREEN","VARIMA FASHIONS PVT LTD","00009317","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"SGH-2859R","ONAYA FASHION PVT LTD","00007425","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"SN 2384 GD","ISHUM DESIGNS","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"SN 2384 GN","ISHUM DESIGNS","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"SS--15723","ISHUM DESIGNS","00004716, 00004717","","INV2627000092, INV2627000662",TRUE,0,0,0,2,2,0,1,3,2,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"SS 15743 GD","ISHUM DESIGNS","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"SS 15743 PK","ISHUM DESIGNS","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"T/584/KKP-933","VARIMA FASHIONS PVT LTD","00007439","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"V-11099","RUDRAKSH","00003341","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"V-F1095","RUDRAKSH","00003337","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"VALW-63","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"VALW-64","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"VALW-88","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"VALW-89","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"VALW-ANKL-W-AL-12","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"VALW-ANKL-W-AL-13","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"VALW-ANKL-W-AL-14","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"VALW-ANKL-W-AL-15","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"VALW-GC-W-AL-101","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"VALW-GC-W-AL-102","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"VALW-GC-W-AL-138","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"VALW-GC-W-AL-153","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"VALW-GC-W-AL-154","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"VALW-GC-W-AL139","ART LAND ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
